"id","posicion","chapa","color","created_at","updated_at","trincador"
"16159095","437","804","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159097","439","806","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159098","440","800","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159100","442","784","3","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159102","444","778","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159103","445","770","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159105","447","797","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159107","449","760","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:39.716993","True"
"16159108","450","798","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159110","452","789","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159112","454","127","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159113","455","795","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159115","457","776","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159117","459","766","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159119","461","786","0","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159121","463","802","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:39.716993","True"
"16159122","464","810","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159124","466","790","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:39.716993","True"
"16159126","468","775","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:39.716993","True"
"16159127","469","829","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159129","471","838","1","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159131","473","813","3","2026-03-12T20:05:38.929848","2026-03-12T20:05:39.716993","True"
"16159132","474","944","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159134","476","943","0","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159136","478","762","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159137","479","774","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159139","481","767","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159141","483","765","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159142","484","764","0","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159144","486","761","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159146","488","824","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159149","491","825","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159154","496","782","4","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159157","499","856","0","2026-03-12T20:05:38.929848","2026-03-12T20:05:38.929848","False"
"16159160","502","837","4","2026-03-12T20:05:39.047744","2026-03-12T20:05:39.047744","False"
